Symbol,Name
000012.SZ,南  玻A
000019.SZ,深粮控股
000025.SZ,特力A
000028.SZ,国药一致
000029.SZ,深深房A
000030.SZ,富奥股份
000035.SZ,中国天楹
000048.SZ,京基智农
000049.SZ,德赛电池
000058.SZ,深赛格
000059.SZ,华锦股份
000061.SZ,农 产 品
000065.SZ,北方国际
000088.SZ,盐田港
000089.SZ,深圳机场
000090.SZ,天健集团
000099.SZ,中信海直
000156.SZ,华数传媒
000420.SZ,吉林化纤
000422.SZ,湖北宜化
000498.SZ,山东路桥
000503.SZ,国新健康
000517.SZ,荣安地产
000544.SZ,中原环保
000550.SZ,江铃汽车
000552.SZ,甘肃能化
000555.SZ,神州信息
000557.SZ,西部创业
000567.SZ,海德股份
000581.SZ,威孚高科
000589.SZ,贵州轮胎
000597.SZ,东北制药
000600.SZ,建投能源
000603.SZ,盛达资源
000612.SZ,焦作万方
000620.SZ,盈新发展
000628.SZ,高新发展
000650.SZ,仁和药业
000657.SZ,中钨高新
000672.SZ,上峰水泥
000676.SZ,智度股份
000680.SZ,山推股份
000681.SZ,视觉中国
000682.SZ,东方电子
000685.SZ,中山公用
000686.SZ,东北证券
000688.SZ,国城矿业
000690.SZ,宝新能源
000712.SZ,锦龙股份
000718.SZ,苏宁环球
000719.SZ,中原传媒
000727.SZ,冠捷科技
000735.SZ,罗牛山
000737.SZ,北方铜业
000756.SZ,新华制药
000758.SZ,中色股份
000761.SZ,本钢板材
000762.SZ,西藏矿业
000766.SZ,通化金马
000767.SZ,晋控电力
000791.SZ,甘肃能源
000795.SZ,英洛华
000801.SZ,四川九洲
000810.SZ,创维数字
000811.SZ,冰轮环境
000813.SZ,德展健康
000821.SZ,京山轻机
000828.SZ,东莞控股
000829.SZ,天音控股
000837.SZ,秦川机床
000848.SZ,承德露露
000860.SZ,顺鑫农业
000875.SZ,吉电股份
000881.SZ,中广核技
000885.SZ,城发环境
000899.SZ,赣能股份
000901.SZ,航天科技
000902.SZ,新洋丰
000913.SZ,钱江摩托
000915.SZ,华特达因
000917.SZ,电广传媒
000923.SZ,河钢资源
000927.SZ,中国铁物
000928.SZ,中钢国际
000930.SZ,中粮科技
000935.SZ,四川双马
000950.SZ,重药控股
000966.SZ,长源电力
000968.SZ,蓝焰控股
000969.SZ,安泰科技
000970.SZ,中科三环
000990.SZ,诚志股份
001203.SZ,大中矿业
001227.SZ,兰州银行
001236.SZ,弘业期货
001258.SZ,立新能源
001287.SZ,中电港
