Code, Name, Start
csi300, CSI 300 (沪深300), 2023/07
sse, SSE (上证综指), 2023/07
szse, SZSE (深证成指), 2023/07
nasdaq100, NASDAQ 100, 2023/07
sp500, S&P 500, 2023/07
dowjones, Dow Jones, 2023/07
dax, DAX, 2023/07
hsi, HSI (恒生指数), 2023/07
ftse100, FTSE 100, 2023/07
